Type  Calories  Sodium
Beef       186    495
Beef       181    477
Beef       176    425
Beef       149    322
Beef       184    482
Beef       190    587
Beef       158    370
Beef       139    322
Beef       175    479
Beef       148    375
Beef       152    330
Beef       111    300
Beef       141    386
Beef       153    401
Beef       190    645
Beef       157    440
Beef       131    317
Beef       149    319
Beef       135    298
Beef       132    253
Chicken       173    458
Chicken       191    506
Chicken      182    473
Chicken       190    545
Chicken       172    496
Chicken       147    360
Chicken      146    387
Chicken       139    386
Chicken      175    507
Chicken      136    393
Chicken      179    405
Chicken      153    372
Chicken      107    144
Chicken	     195    511
Chicken       135    405
Chicken       140    428
Chicken       138    339
Vegan    129    430
Vegan     132    375
Vegan     102    396
Vegan    106    383
Vegan     94    387
Vegan   102    542
Vegan      87    359
Vegan     99    357
Vegan    107    528
Vegan     113    513
Vegan     135    426
Vegan    142    513
Vegan      86    358
Vegan     143    581
Vegan     152    588
Vegan     146    522
Vegan     144    545

